specification,term,estimate,se_cluster,p_cluster,ci95_lo,ci95_hi,wild_p_rademacher,wild_B,wild_seed,N,G,weight,cluster,estimator
PRIMARY_2021,dig_x_lowcov,-0.017436464934002496,0.004932309490336351,0.00040754028933183477,-0.027103791535061744,-0.007769138332943248,0.002,999,20260917,96711,93,w_equal,economy,WLS LPM; null-imposed cluster-score Rademacher bootstrap
PRIMARY_2024,dig_x_lowcov,-0.016085234304462702,0.005981885869887102,0.00716684577569927,-0.02780973060944142,-0.004360737999483983,0.02,999,20260917,97847,93,w_equal,economy,WLS LPM; null-imposed cluster-score Rademacher bootstrap
SECONDARY_POOLED_2021_2024,dig_x_lowcov,-0.019841191631476265,0.00551132365722308,0.0003181224957279491,-0.030643385999633503,-0.009038997263319028,0.001,999,20260917,194558,93,w_equal,economy,WLS LPM; null-imposed cluster-score Rademacher bootstrap
SECONDARY_POOLED_2021_2024,dig_x_lowcov_x_wave,0.005835544033056303,0.005586895545944081,0.2962515007960749,-0.005114771236994096,0.016785859303106703,0.305,999,20260917,194558,93,w_equal,economy,WLS LPM; null-imposed cluster-score Rademacher bootstrap
