specification,n_runs,min_estimate,max_estimate,all_negative
ROBUSTNESS_LOO_2021,93,-0.0196966694423865,-0.015556218709548,True
ROBUSTNESS_LOO_2024,93,-0.018292692294257,-0.0126743603785712,True
