wave,term,estimate,se_cluster,p_cluster,ci95_lo,ci95_hi,wild_p_rademacher,N,G
2021,digital_payment,0.09711716986804579,0.006769865104722782,1.1366108005361928e-46,0.08384823426278915,0.11038610547330244,0.001,96535,93
2021,dig_x_lowcov,0.019511284171941878,0.007172887833479272,0.006525359285976672,0.005452424018322506,0.03357014432556125,0.009,96535,93
2024,digital_payment,0.09503233032670017,0.006280391358811801,1.0023816080854483e-51,0.08272276326342903,0.1073418973899713,0.001,97723,93
2024,dig_x_lowcov,0.017547170670109705,0.005936697137760208,0.0031194759858758276,0.0059112442800996964,0.029183097060119713,0.006,97723,93
