model_id,wave,sample_n,economies,coefficient_digital_payment,coefficient_interaction,conventional_se,bootstrap_se_if_available,conventional_pvalue,wild_bootstrap_pvalue,ci_lower,ci_upper,independent_result,previous_reported_result,absolute_difference,relative_difference,discrepancy_classification
PRIMARY_2021,2021,96711,93,0.090725,-0.017436,0.004932,NA,0.000408,0.002,-0.027104,-0.007769,-0.017436,-0.0174,0.000036,0.002,REPRODUCED
PRIMARY_2024,2024,97847,93,0.081290,-0.016085,0.005982,NA,0.007167,0.020,-0.027810,-0.004361,-0.016085,-0.0161,0.000015,0.001,REPRODUCED
SECONDARY_POOLED_2021_2024,pooled,194558,93,0.096476,-0.019841,0.005511,NA,0.000318,0.001,-0.030643,-0.009039,-0.019841,-0.0198,0.000041,0.002,REPRODUCED
SECONDARY_POOLED_TRIPLE_INTERACTION,pooled,194558,93,NA,0.005836,0.005587,NA,0.296,0.305,-0.005115,0.016786,0.005836,0.0058,0.000036,0.006,REPRODUCED
EARLIER_2024_BASELINE_97ECON,2024,NA,97,0.03617,-0.01975,NA,NA,NA,0.001,-0.02916,-0.01033,NOT_INDEPENDENTLY_REESTIMATED_THIS_SESSION,-0.01975,NA,NA,UNRESOLVED_NOT_IN_SCOPE_THIS_PASS
