term,estimate,se_cluster,t,p_cluster,ci95,p_wild_score_rademacher_999,wild_method,wild_p,details
acc_state,0.04599779984696015,0.006465660464011304,7.114168784919933,2.0209711253288786e-10,"[0.03316356526221134, 0.05883203443170895]",,,,
dig_state,0.11704333112878929,0.007335430022910097,15.955892260336238,9.464752211094307e-29,"[0.10248261761497912, 0.13160404464259945]",,,,
acc_state:lowcov2019_z,0.008436920507411858,0.006178741431769122,1.3654755746909715,0.1752946604476002,"[-0.0038277842996565503, 0.020701625314480266]",0.157,null-imposed cluster-score Rademacher; seed 20260909,0.165,
dig_state:lowcov2019_z,0.0013790664528964035,0.007571805958196127,0.182131774177814,0.8558633544305659,"[-0.013650849584079996, 0.016408982489872805]",0.867,null-imposed cluster-score Rademacher; seed 20260909,0.868,
cell_account_only,,,,,,,,,"{""raw_n"": 9404, ""economies"": 97}"
cell_digitally_active,,,,,,,,,"{""raw_n"": 46025, ""economies"": 97}"
cell_digitally_active_no_fi,,,,,,,,,"{""raw_n"": 10167, ""economies"": 76}"
cell_unbanked,,,,,,,,,"{""raw_n"": 34964, ""economies"": 97}"
four_state_gate,,,,,,,,,"{""raw_n"": 10167, ""kish_n_eff"": 6269.695370550121, ""economies_any"": 76, ""economies_with_at_least_5"": 68, ""interpretable"": true}"
