row,estimate,se,p,N,G,C_pp
1_lowcov2019_full_reference,-0.01974817527440055,0.004742982808612062,6.837627585280705e-05,100560,97,-3.079920007901468
2_lowcov2019_q4_baseline,-0.01974817527440055,0.004742982808612062,6.837627585280705e-05,100560,97,-3.079920007901468
3_lowcov_mean1519_z,-0.020822753250789368,0.004654332108285448,2.1104543503545402e-05,100560,97,-3.1481837858239747
4_lowcov_persistent,-0.03807223118016541,0.009708845515319016,0.00016523745951307344,100560,97,-3.8072231180190292
