wave,outcome,primary_estimate_93economies,excl_chn_sau_estimate_91economies,se_cluster,ci95_lo,ci95_hi,p_cluster,wild_p_rademacher,N,G,relative_change_vs_primary,same_sign
2021,informal_borrow,0.0195112841719418,0.018132577096464358,0.007084676974208016,0.004246610227016646,0.03201854396591207,0.010485068216283406,0.026,92249,91,0.07066203655934103,True
2024,informal_borrow,0.0175471706701097,0.016861427210059166,0.0058035861701847815,0.005486398316496995,0.028236456103621337,0.0036684705207143432,0.012,92820,91,0.03908000172464544,True
