wave,primary_estimate_93economies,excl_chn_sau_estimate_91economies,se_cluster,ci95_lo,ci95_hi,p_cluster,wild_p_rademacher,N,G,relative_change_vs_primary,same_sign,moderator_mean_91economies,moderator_sd_ddof0_91economies
2021,-0.0174364649340024,-0.016442965175323506,0.004895330676790671,-0.02603781330183322,-0.006848117048813791,0.0007825112529215393,0.001,92263,91,0.05697827870725644,True,41.73846153846153,31.52759046090422
2024,-0.0160852343044627,-0.015386231014000733,0.005927034446472403,-0.02700321852908664,-0.0037692434989148246,0.009433229489462258,0.007,92822,91,0.043456208173979376,True,41.73846153846153,31.52759046090422
