wave,term,estimate,se_cluster,p_cluster,ci95_lo,ci95_hi,N,G
2021,dig_x_lowcov,-0.01205601783129803,0.007038699278571298,0.08674584428962832,-0.025851868417297773,0.0017398327547017145,96711.0,93.0
2021,dig_x_lgdppc,-0.00244609484306954,0.0075887825075329875,0.7472024509336697,-0.017320108557834196,0.012427918871695115,96711.0,93.0
2021,dig_x_accrate,0.011666577613170656,0.007862348502801184,0.13784764620209725,-0.003743625452319665,0.027076780678660976,96711.0,93.0
2021,dig_x_lowcov_PRIMARY_FOR_COMPARISON,-0.0174364649340024,,,,,,
2021,dig_x_lowcov_RELATIVE_CHANGE,0.3085744228012697,,,,,,
2024,dig_x_lowcov,-0.009814074011717572,0.00968678853663857,0.3109932416555362,-0.028800179543529168,0.009172031520094026,97847.0,93.0
2024,dig_x_lgdppc,-0.003511510293136444,0.007430811876789065,0.6365265656623633,-0.01807590157164301,0.011052880985370122,97847.0,93.0
2024,dig_x_accrate,0.012948313091928775,0.007256383535128259,0.07435819180717064,-0.0012741986369226126,0.027170824820780162,97847.0,93.0
2024,dig_x_lowcov_PRIMARY_FOR_COMPARISON,-0.0160852343044627,,,,,,
2024,dig_x_lowcov_RELATIVE_CHANGE,0.3898706213440268,,,,,,
