wave,primary_estimate,reweighted_estimate,se_cluster,ci95_lo,ci95_hi,p_cluster,wild_p_rademacher,N,G,relative_change_vs_primary,same_sign
2021,-0.0174364649340024,-0.017661293019940023,0.00507042982485201,-0.027599335476649965,-0.007723250563230083,0.0004954683478328789,0.002,96711,93,0.012894132313436623,True
2024,-0.0160852343044627,-0.012339335257642563,0.006360388002875682,-0.0248056957432789,0.00012702522799377253,0.052376202268850265,0.043,97847,93,0.23287811516558823,True
